73581;11069
63101;11028
73058;27530
66172;7096
92954;9049
46269;32932
44117;37842
54148;5382
55552;8158
58313;8650
56141;9480
59663;10495
63105;13201
72318;13232
72322;14718
72320;15907
85709;11643
84440;12227
89244;7339
89242;8148
89245;9408
89243;8650
52305;4914
53758;7174
35983;6877
77084;26999
70427;4819
68705;9119
72895;7686
21170;7799
18378;6630
19707;7743
29335;10669
29336;10751
29338;11171
20550;16655
14106;17475
29853;19279
14107;20969
73476;10044
79208;35392
74329;17885
66394;10915
38556;28979
72611;27899
83830;15261
71710;37237
51576;7635
40386;10874
40737;49066
46789;38539
38069;52759
38070;45857
38067;65896
44112;6487
76423;11981
92606;8455
73578;7800
65210;7789
63062;4200
73588;8127
92024;15661
60148;11243
73585;6661
62055;12555
66829;13290
68790;3999
75926;11171
93751;10854
92026;17065
75506;5999
69988;14448
70009;9672
72314;5369
68793;5124
68445;6679
81258;12073
68446;6730
88043;8349
92756;9909
84369;28022
90947;30646
92635;16061
84368;19956
92345;9359
85699;21790
91850;13888
90517;37555
88880;12039
87250;26219
90109;11979
80590;17670
81257;17547
89077;21186
83348;21985
91933;11100
81025;41593
90150;5339
92551;5903
89879;6499
76258;2869
79179;3023
93277;3115
94139;5964
93169;11789
93168;12945
50398;29109
38554;36837
30656;74629
41359;31938
63106;25860
38558;71759
34549;50747
85700;14062
93866;30499
17338;17629
18389;19197
12201;13909
884;9126
1473;10764
23979;8096
14945;36348
80756;49947
60779;43602
54158;60607
54228;55113
70142;12090
69248;13026
72324;32225
70544;7349
72792;9160
24801;124500
886;45734
18421;35423
44127;45314
21508;26340
11037;30933
8245;67002
13161;54385
62464;24886
63198;29069
67745;67844
82958;17475
92025;43151
77461;18371
89573;15000
93171;13049
92028;13489
92027;12606
61778;21700
61776;16300
61777;18500
